El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho Dev. M Sp Vp In Spa.5 Spa.6 Spa.7 Spa.8
Mixed/non-conventional 4.00 28.00 12.00 20.00 610.34 0.74 0.00 18.08 15.477 1.275 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 29.00 13.00 21.00 635.22 0.44 0.00 39.34 15.291 1.210 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 30.00 14.00 22.00 633.58 1.00 0.00 -21.44 15.298 1.214 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 31.00 15.00 23.00 648.34 0.64 0.00 16.73 15.312 1.187 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 32.00 16.00 24.00 667.58 0.27 0.00 61.63 15.380 1.158 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 33.00 17.00 25.00 674.10 0.52 0.00 -2.99 15.384 1.147 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 34.00 18.00 26.00 683.37 0.76 0.00 20.44 15.495 1.140 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 35.00 19.00 27.00 684.31 0.16 0.00 43.11 15.570 1.144 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 27.00 9.00 18.00 601.40 0.38 0.00 65.15 15.194 1.429 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 28.00 10.00 19.00 602.91 0.37 0.00 49.36 15.301 1.435 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 29.00 11.00 20.00 617.08 0.59 0.00 10.88 15.172 1.390 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 30.00 12.00 21.00 626.15 0.43 0.00 14.80 15.276 1.380 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 31.00 13.00 22.00 629.18 0.37 0.00 0.75 15.316 1.377 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 32.00 14.00 23.00 649.38 0.73 0.00 -17.83 15.416 1.342 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 33.00 15.00 24.00 650.46 0.68 0.00 18.45 15.276 1.328 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 34.00 16.00 25.00 661.36 0.42 0.00 4.42 15.348 1.312 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 35.00 17.00 26.00 660.23 0.86 0.00 24.47 15.434 1.322 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 30.00 10.00 20.00 616.93 0.15 0.00 12.44 15.233 1.551 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 31.00 11.00 21.00 628.36 0.31 0.00 -0.42 15.226 1.523 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 32.00 12.00 22.00 628.38 0.29 0.00 -6.14 15.341 1.534 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 33.00 13.00 23.00 647.19 0.29 0.00 10.74 15.326 1.488 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 34.00 14.00 24.00 652.90 0.68 0.00 -7.73 15.380 1.480 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 35.00 15.00 25.00 657.78 0.50 0.00 -4.78 15.470 1.478 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 33.00 11.00 22.00 632.79 0.65 0.00 -20.56 15.309 1.672 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 34.00 12.00 23.00 639.68 0.37 0.00 7.83 15.305 1.654 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 35.00 13.00 24.00 648.76 0.57 0.00 14.03 15.373 1.638 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 1.00 2.00 3.00 3087.18 6.84 0.00 185.84 -20.767 0.127 0.00 0.00 0.00 0.00
